Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
1 Mar 2024,BY TRANSFER-UPI/CR/411364571849/SHASHANK/HDFC/barclays@salary/Salary Credit,TRANSFER FROM 4897732162091,,60000.0,65000.0
1 Mar 2024,TO TRANSFER-UPI/DR/498520779382/SHASHANK/HDFC/netflix@okhdfc/Netflix Subscription,TRANSFER TO 4897732162091,499.0,,124501.0
3 Mar 2024,TO TRANSFER-UPI/DR/435308875119/SHASHANK/HDFC/primevideo@okicici/Amazon Prime Subscription,TRANSFER TO 4897732162091,179.0,,124322.0
3 Mar 2024,TO TRANSFER-UPI/DR/478057206207/SHASHANK/HDFC/uber@okaxis/UPI,TRANSFER TO 4897732162091,396.76,,120652.77
4 Mar 2024,TO TRANSFER-UPI/DR/464589471586/SHASHANK/HDFC/ola@okhdfc/UPI,TRANSFER TO 4897732162091,368.48,,121644.1
9 Mar 2024,TO TRANSFER-UPI/DR/409769362867/SHASHANK/HDFC/rahuldixit/UPI,TRANSFER TO 4897732162091,1568.02,,112359.34
10 Mar 2024,TO TRANSFER-UPI/DR/456506352562/SHASHANK/HDFC/zomato@okaxis/Snack Time,TRANSFER TO 4897732162091,33.98,,123610.02
10 Mar 2024,TO TRANSFER-UPI/DR/431215727952/SHASHANK/HDFC/swiggy@okhdfc/Snack Time,TRANSFER TO 4897732162091,58.81,,123551.21
10 Mar 2024,TO TRANSFER-UPI/DR/430264247389/SHASHANK/HDFC/zomato@okaxis/Snack Time,TRANSFER TO 4897732162091,40.91,,123510.3
10 Mar 2024,TO TRANSFER-UPI/DR/461734982400/SHASHANK/HDFC/swiggy@okhdfc/Snack Time,TRANSFER TO 4897732162091,43.58,,123466.72
10 Mar 2024,TO TRANSFER-UPI/DR/470131219603/SHASHANK/HDFC/zomato@okaxis/Snack Time,TRANSFER TO 4897732162091,26.27,,123440.45
16 Mar 2024,TO TRANSFER-UPI/DR/436531672765/SHASHANK/HDFC/amazon@okicici/Late Night Purchase,TRANSFER TO 4897732162091,369.21,,122012.58
24 Mar 2024,TO TRANSFER-UPI/DR/457989614759/SHASHANK/HDFC/spotify@okaxis/UPI,TRANSFER TO 4897732162091,462.34,,120190.43
27 Mar 2024,TO TRANSFER-UPI/DR/420609775259/SHASHANK/HDFC/bigbasket@okhdfc/UPI,TRANSFER TO 4897732162091,2896.68,,115480.18
28 Mar 2024,TO TRANSFER-UPI/DR/442571607783/SHASHANK/HDFC/flipkart@okaxis/Late Night Purchase,TRANSFER TO 4897732162091,645.8,,122381.79
31 Mar 2024,TO TRANSFER-UPI/DR/458889261109/SHASHANK/HDFC/amazon@okicici/Late Night Purchase,TRANSFER TO 4897732162091,412.86,,123027.59
31 Mar 2024,TO TRANSFER-UPI/DR/438155609374/SHASHANK/HDFC/water@okicici/UPI,TRANSFER TO 4897732162091,1552.82,,113927.36
1 Apr 2024,TO TRANSFER-UPI/DR/469286142034/SHASHANK/HDFC/netflix@okhdfc/Netflix Subscription,TRANSFER TO 4897732162091,499.0,,123823.0
1 Apr 2024,BY TRANSFER-UPI/CR/467601250925/SHASHANK/HDFC/barclays@salary/Salary Credit,TRANSFER FROM 4897732162091,,60000.0,125000.0
2 Apr 2024,TO TRANSFER-UPI/DR/423351684759/SHASHANK/HDFC/netflix@okhdfc/UPI,TRANSFER TO 4897732162091,250.48,,121393.62
2 Apr 2024,TO TRANSFER-UPI/DR/411192350971/SHASHANK/HDFC/bigbasket@okhdfc/UPI,TRANSFER TO 4897732162091,973.46,,111385.88
3 Apr 2024,TO TRANSFER-UPI/DR/499106723754/SHASHANK/HDFC/primevideo@okicici/Amazon Prime Subscription,TRANSFER TO 4897732162091,179.0,,123644.0
12 Apr 2024,TO TRANSFER-UPI/DR/483930396947/SHASHANK/HDFC/netflix@okhdfc/UPI,TRANSFER TO 4897732162091,344.09,,121049.53
18 Apr 2024,TO TRANSFER-UPI/DR/422275293614/SHASHANK/HDFC/paytm@okhdfc/UPI,TRANSFER TO 4897732162091,1277.22,,110108.66
28 Apr 2024,TO TRANSFER-UPI/DR/442416906246/SHASHANK/HDFC/rahuldixit/UPI,TRANSFER TO 4897732162091,1813.57,,118376.86
