Value Date,Description,Ref No./Cheque No.,Debit,Credit,Balance
28 Sep 2024,TO TRANSFER-UPI/DR/447820380803/ANITA P/SBIN/ola@okhdfc/UPI--,TRANSFER TO 8974521398,600.96,,6899.04
25 Aug 2024,TO TRANSFER-UPI/DR/419248045509/SAGAR MO/KKBK/electricity@okupi/UPI--,TRANSFER TO 9137022807,2454.84,,4444.2
31 Jul 2024,BY TRANSFER-UPI/CR/478745412367/RAHUL D/IDIB/amazon@okicici/Dr Re--,TRANSFER FROM 9137022807,,3137.3,7581.5
28 Jul 2024,BY TRANSFER-UPI/CR/461624284138/ANITA P/AXIS/electricity@okupi/Dr Re--,TRANSFER FROM 7382910045,,2169.63,9751.13
3 Aug 2024,TO TRANSFER-UPI/DR/473365911831/SANJEEV S/HDFC/bigbasket@okhdfc/UPI--,TRANSFER TO 4897732162091,651.56,,9099.57
12 Jul 2024,TO TRANSFER-UPI/DR/469274681383/MS SANJE/UBI/gasbill@okaxis/UPI--,TRANSFER TO 9137022807,3281.64,,5817.93
16 Jul 2024,TO TRANSFER-UPI/DR/476164046963/PRIYA K/HDFC/spawar3290/UPI--,TRANSFER TO 8974521398,2002.32,,3815.61
28 Sep 2024,TO TRANSFER-UPI/DR/476539210982/SAGAR MO/YESB/uber@okaxis/UPI--,TRANSFER TO 7382910045,2462.9,,1352.71
22 Sep 2024,TO TRANSFER-UPI/DR/445513321150/RAHUL D/HDFC/paytm@okhdfc/UPI--,TRANSFER TO 4897690162095,1381.69,,-28.98
16 Jul 2024,BY TRANSFER-UPI/CR/442635244400/RAHUL D/BOI/ola@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,2356.34,2327.36
2 Aug 2024,BY TRANSFER-UPI/CR/499262152913/RAHUL D/IDIB/zomato@okaxis/Dr Re--,TRANSFER FROM 4897690162095,,4906.19,7233.55
13 Jul 2024,BY TRANSFER-UPI/CR/418158588076/SAGAR MO/KKBK/zomato@okaxis/Dr Re--,TRANSFER FROM 7382910045,,579.57,7813.12
1 Jul 2024,BY TRANSFER-UPI/CR/498581195093/SANJEEV S/UBI/flipkart@okaxis/Dr Re--,TRANSFER FROM 8974521398,,3909.29,11722.41
25 Aug 2024,TO TRANSFER-UPI/DR/465097703066/SAGAR MO/AXIS/rahuldixit/UPI--,TRANSFER TO 4897732162091,3209.45,,8512.96
27 Jul 2024,BY TRANSFER-UPI/CR/409731695756/MS SANJE/BOI/gpay@okicici/Dr Re--,TRANSFER FROM 7382910045,,1722.19,10235.15
5 Aug 2024,TO TRANSFER-UPI/DR/431071157976/SANJEEV S/ICIC/paytm@okhdfc/UPI--,TRANSFER TO 7382910045,3299.49,,6935.66
28 Sep 2024,TO TRANSFER-UPI/DR/476668235066/PRIYA K/PNB/spawar3290/UPI--,TRANSFER TO 9137022807,1053.79,,5881.87
11 Jul 2024,BY TRANSFER-UPI/CR/425976108955/SAGAR MO/ICIC/write2same/Dr Re--,TRANSFER FROM 9137022807,,1957.93,7839.8
28 Sep 2024,BY TRANSFER-UPI/CR/447380400757/MS SANJE/SBIN/swiggy@okhdfc/Dr Re--,TRANSFER FROM 4897732162091,,521.52,8361.32
8 Jul 2024,BY TRANSFER-UPI/CR/454413748205/PRIYA K/PNB/bigbasket@okhdfc/Dr Re--,TRANSFER FROM 7382910045,,3523.33,11884.65
20 Aug 2024,BY TRANSFER-UPI/CR/497966138017/SANJEEV S/AXIS/flipkart@okaxis/Dr Re--,TRANSFER FROM 8974521398,,2467.82,14352.47
3 Jul 2024,TO TRANSFER-UPI/DR/440309031592/RAHUL D/HDFC/gpay@okicici/UPI--,TRANSFER TO 4897690162095,3006.59,,11345.88
31 Jul 2024,TO TRANSFER-UPI/DR/409786045307/MS SANJE/PNB/spotify@okaxis/UPI--,TRANSFER TO 4897690162095,2146.08,,9199.8
19 Jul 2024,TO TRANSFER-UPI/DR/465330121206/SANJEEV S/KKBK/zomato@okaxis/UPI--,TRANSFER TO 8974521398,4588.05,,4611.75
25 Sep 2024,TO TRANSFER-UPI/DR/491135252806/PRIYA K/PNB/dmart@okicici/UPI--,TRANSFER TO 7382910045,2020.51,,2591.24
17 Jul 2024,TO TRANSFER-UPI/DR/421042281363/SANJEEV S/YESB/spawar3290/UPI--,TRANSFER TO 4897690162095,4746.22,,-2154.98
18 Aug 2024,TO TRANSFER-UPI/DR/409224982560/PRIYA K/UBI/dmart@okicici/UPI--,TRANSFER TO 4897690162095,1124.21,,-3279.19
21 Sep 2024,TO TRANSFER-UPI/DR/447763464538/RAHUL D/UBI/uber@okaxis/UPI--,TRANSFER TO 4897732162091,4849.97,,-8129.16
30 Aug 2024,TO TRANSFER-UPI/DR/470938409477/ANITA P/UBI/flipkart@okaxis/UPI--,TRANSFER TO 8974521398,4493.13,,-12622.29
25 Sep 2024,BY TRANSFER-UPI/CR/496427881888/ROHIT T/HDFC/uber@okaxis/Dr Re--,TRANSFER FROM 4897732162091,,3953.17,-8669.12
11 Sep 2024,TO TRANSFER-UPI/DR/490630753780/PRIYA K/IDIB/uber@okaxis/UPI--,TRANSFER TO 7382910045,3156.58,,-11825.7
29 Aug 2024,BY TRANSFER-UPI/CR/482327731678/ROHIT T/SBIN/spotify@okaxis/Dr Re--,TRANSFER FROM 7382910045,,4660.34,-7165.36
20 Sep 2024,TO TRANSFER-UPI/DR/460235060821/MS SANJE/IDIB/electricity@okupi/UPI--,TRANSFER TO 8974521398,4903.81,,-12069.17
30 Jul 2024,TO TRANSFER-UPI/DR/402289262039/ROHIT T/SBIN/spotify@okaxis/UPI--,TRANSFER TO 9137022807,4016.42,,-16085.59
